Date,Open,High,Low,Close
05/03/2024,"22,766.35","22,794.70","22,348.05","22,475.85"
05/02/2024,"22,567.85","22,710.50","22,567.85","22,648.20"
04/30/2024,"22,679.65","22,783.35","22,568.40","22,604.85"
04/29/2024,"22,475.55","22,655.80","22,441.90","22,643.40"
04/26/2024,"22,620.40","22,620.40","22,385.55","22,419.95"
04/25/2024,"22,316.90","22,625.95","22,305.25","22,570.35"
04/24/2024,"22,421.55","22,476.45","22,384.00","22,402.40"
04/23/2024,"22,447.05","22,447.55","22,349.45","22,368.00"
04/22/2024,"22,336.90","22,375.65","22,198.15","22,336.40"
04/19/2024,"21,861.50","22,179.55","21,777.65","22,147.00"
04/18/2024,"22,212.35","22,326.50","21,961.70","21,995.85"
04/16/2024,"22,125.30","22,213.75","22,079.45","22,147.90"
04/15/2024,"22,339.05","22,427.45","22,259.55","22,272.50"
04/12/2024,"22,677.40","22,726.45","22,503.75","22,519.40"
04/10/2024,"22,720.25","22,775.70","22,673.70","22,753.80"
04/09/2024,"22,765.10","22,768.40","22,612.25","22,642.75"
04/08/2024,"22,578.35","22,697.30","22,550.35","22,666.30"
04/05/2024,"22,486.40","22,537.60","22,427.60","22,513.70"
04/04/2024,"22,592.10","22,619.00","22,303.80","22,514.65"
04/03/2024,"22,385.70","22,521.10","22,346.50","22,434.65"
04/02/2024,"22,458.80","22,497.60","22,388.15","22,453.30"
04/01/2024,"22,455.00","22,529.95","22,427.75","22,462.00"
03/28/2024,"22,163.60","22,516.00","22,163.60","22,326.90"
03/27/2024,"22,053.95","22,193.60","22,052.85","22,123.65"
03/26/2024,"21,947.90","22,073.20","21,947.55","22,004.70"
03/22/2024,"21,932.20","22,180.70","21,883.30","22,096.75"
03/21/2024,"21,989.90","22,080.95","21,941.30","22,011.95"
03/20/2024,"21,843.90","21,930.90","21,710.20","21,839.10"
03/19/2024,"21,946.45","21,978.30","21,793.10","21,817.45"
03/18/2024,"21,990.10","22,123.70","21,916.55","22,055.70"
03/15/2024,"22,064.85","22,120.90","21,931.70","22,023.35"
03/14/2024,"21,982.55","22,204.60","21,917.50","22,146.65"
03/13/2024,"22,432.20","22,446.75","21,905.65","21,997.70"
03/12/2024,"22,334.45","22,452.55","22,256.00","22,335.70"
03/11/2024,"22,517.50","22,526.60","22,307.25","22,332.65"
03/07/2024,"22,505.30","22,525.65","22,430.00","22,493.55"
03/06/2024,"22,327.50","22,497.20","22,224.35","22,474.05"
03/05/2024,"22,371.25","22,416.90","22,269.15","22,356.30"
03/04/2024,"22,403.50","22,440.90","22,358.30","22,405.60"
03/01/2024,"22,048.30","22,353.30","22,047.75","22,338.75"
02/29/2024,"21,935.20","22,060.55","21,860.65","21,982.80"
