bioguide,name,chamber,state,district,party,agree_pct,biden_margin
A000055,Robert Aderholt,house,,AL-4,Democrat,7.7%,-61.8
A000148,Jake Auchincloss,house,,MA-4,Democrat,96.3%,28.5
A000369,Mark Amodei,house,,NV-2,Republican,5.5%,-11.0
A000370,Alma Adams,house,,NC-12,Democrat,96.3%,30.2
A000371,Pete Aguilar,house,,CA-33,Democrat,96.3%,25.3
A000372,Rick Allen,house,,GA-12,Republican,5.5%,-10.1
A000375,Jodey Arrington,house,,TX-19,Republican,5.6%,-46.2
A000376,Colin Allred,house,,TX-32,Democrat,90.6%,33.0
A000377,Kelly Armstrong,house,,ND-AL,Republican,5.5%,-33.5
A000379,Mark Alford,house,,MO-4,Republican,3.7%,-39.3
B000490,Sanford Bishop,house,,GA-2,Democrat,90.7%,10.3
B000574,Earl Blumenauer,house,,OR-3,Democrat,94.2%,47.3
B000668,Cliff Bentz,house,,OR-2,Republican,5.5%,-24.4
B000740,Stephanie Bice,house,,OK-5,Republican,5.5%,-16.9
B000825,Lauren Boebert,house,,CO-3,Republican,6.0%,-8.3
B000944,Sherrod Brown,senate,OH,,Democrat,97.9%,-8.0
B001223,Jamaal Bowman,house,,NY-16,Democrat,94.3%,43.7
B001224,Cori Bush,house,,MO-1,Democrat,93.6%,58.4
B001230,Tammy Baldwin,senate,WI,,Democrat,99.3%,0.6
B001236,John Boozman,senate,AR,,Republican,16.8%,-27.6
B001243,Marsha Blackburn,senate,TN,,Republican,9.9%,-23.2
B001248,Michael Burgess,house,,TX-26,Republican,5.5%,-18.5
B001257,Gus Bilirakis,house,,FL-12,Republican,3.7%,-28.7
B001260,Vern Buchanan,house,,FL-16,Republican,3.8%,-8.9
B001261,John Barrasso,senate,WY,,Republican,12.0%,-43.3
B001267,Michael Bennet,senate,CO,,Democrat,98.6%,13.5
B001275,Larry Bucshon,house,,IN-8,Republican,5.7%,-32.8
B001277,Richard Blumenthal,senate,CT,,Democrat,100.0%,20.0
B001278,Suzanne Bonamici,house,,OR-1,Democrat,92.5%,39.3
B001281,Joyce Beatty,house,,OH-3,Democrat,96.2%,43.8
B001282,Andy Barr,house,,KY-6,Republican,5.5%,-11.0
B001285,Julia Brownley,house,,CA-26,Democrat,96.2%,20.0
B001287,Ami Bera,house,,CA-6,Democrat,94.4%,18.4
B001288,Cory Booker,senate,NJ,,Democrat,99.3%,15.8
B001291,Brian Babin,house,,TX-36,Republican,3.7%,-31.6
B001292,Don Beyer,house,,VA-8,Democrat,98.0%,56.0
B001295,Mike Bost,house,,IL-12,Republican,1.8%,-42.8
B001296,Brendan Boyle,house,,PA-2,Democrat,96.1%,42.7
B001297,Ken Buck,house,,CO-4,Republican,16.0%,-18.6
B001298,Don Bacon,house,,NE-2,Republican,5.5%,6.3
B001299,Jim Banks,house,,IN-3,Republican,3.7%,-29.9
B001300,Nanette Barragán,house,,CA-44,Democrat,92.6%,48.2
B001301,Jack Bergman,house,,MI-1,Republican,7.4%,-19.8
B001302,Andy Biggs,house,,AZ-5,Republican,9.2%,-16.4
B001303,Lisa Blunt Rochester,house,,DE-AL,Democrat,96.3%,19.0
B001305,Ted Budd,senate,NC,,Republican,13.6%,-1.3
B001306,Troy Balderson,house,,OH-12,Republican,5.5%,-30.9
B001307,Jim Baird,house,,IN-4,Republican,3.7%,-29.1
B001309,Tim Burchett,house,,TN-2,Republican,11.1%,-29.2
B001310,Mike Braun,senate,IN,,Republican,5.0%,-16.0
B001311,Dan Bishop,house,,NC-8,Republican,5.5%,-34.1
B001313,Shontel Brown,house,,OH-11,Democrat,96.3%,57.6
B001314,Aaron Bean,house,,FL-4,Republican,3.7%,-6.7
B001315,Nikki Budzinski,house,,IL-13,Democrat,83.3%,11.2
B001316,Eric Burlison,house,,MO-7,Republican,3.7%,-41.4
B001317,Josh Brecheen,house,,OK-2,Republican,3.7%,-53.4
B001318,Becca Balint,house,,VT-AL,Democrat,94.3%,35.6
B001319,Katie Britt,senate,AL,,Republican,10.5%,-25.4
C000059,Ken Calvert,house,,CA-41,Republican,5.5%,-1.1
C000127,Maria Cantwell,senate,WA,,Democrat,100.0%,19.2
C000141,Ben Cardin,senate,MD,,Democrat,100.0%,33.2
C000174,Tom Carper,senate,DE,,Democrat,100.0%,18.9
C000537,Jim Clyburn,house,,SC-6,Democrat,96.3%,32.1
C000880,Mike Crapo,senate,ID,,Republican,12.2%,-30.6
C001035,Susan Collins,senate,ME,,Republican,70.7%,9.1
C001039,Kat Cammack,house,,FL-3,Republican,1.9%,-14.1
C001047,Shelley Moore Capito,senate,WV,,Republican,27.7%,-38.9
C001051,Buddy Carter,house,,TX-31,Republican,0.0%,-13.4
C001053,Tom Cole,house,,OK-4,Republican,5.5%,-31.6
C001054,Jerry Carl,house,,AL-1,Republican,5.6%,-28.3
C001055,Ed Case,house,,HI-1,Democrat,94.4%,29.4
C001056,John Cornyn,senate,TX,,Republican,21.1%,-5.6
C001059,Jim Costa,house,,CA-21,Democrat,84.6%,20.3
C001061,Emanuel Cleaver,house,,MO-5,Democrat,95.6%,26.3
C001063,Henry Cuellar,house,,TX-28,Democrat,60.8%,7.0
C001066,Kathy Castor,house,,FL-14,Democrat,96.1%,19.1
C001067,Yvette Clarke,house,,NY-9,Democrat,94.4%,51.6
C001068,Steve Cohen,house,,TN-9,Democrat,91.7%,48.1
C001069,Joe Courtney,house,,CT-2,Democrat,100.0%,11.4
C001070,Bob Casey,senate,PA,,Democrat,99.3%,1.2
C001072,André Carson,house,,IN-7,Democrat,96.3%,42.4
C001075,Bill Cassidy,senate,LA,,Republican,22.3%,-18.6
C001078,Gerry Connolly,house,,VA-11,Democrat,94.4%,41.3
C001080,Judy Chu,house,,CA-28,Democrat,94.4%,34.2
