bioguide,name,state,party,agree_pct,biden_margin
B000944,Sherrod Brown,OH,Republican,92.3%,-8.0
B001230,Tammy Baldwin,WI,Democrat,96.4%,0.6
B001236,John Boozman,AR,Republican,17.9%,-27.6
B001243,Marsha Blackburn,TN,Republican,10.7%,-23.2
B001261,John Barrasso,WY,Republican,11.1%,-43.4
B001267,Michael Bennet,CO,Democrat,96.3%,13.5
B001277,Richard Blumenthal,CT,Democrat,100.0%,20.0
B001288,Cory Booker,NJ,Democrat,96.4%,15.9
B001305,Ted Budd,NC,Republican,14.3%,-1.3
B001310,Mike Braun,IN,Republican,3.7%,-16.0
B001319,Katie Britt,AL,Republican,14.3%,-25.5
C000127,Maria Cantwell,WA,Democrat,100.0%,19.2
C000141,Ben Cardin,MD,Democrat,100.0%,33.2
C000174,Tom Carper,DE,Democrat,100.0%,19.0
C000880,Mike Crapo,ID,Republican,7.4%,-30.7
C001035,Susan Collins,ME,Republican,32.1%,9.1
C001047,Shelley Moore Capito,WV,Republican,17.9%,-38.9
C001056,John Cornyn,TX,Republican,14.8%,-5.6
C001070,Bob Casey,PA,Democrat,96.4%,1.2
C001075,Bill Cassidy,LA,Republican,19.2%,-18.6
C001088,Chris Coons,DE,Democrat,100.0%,19.0
C001095,Tom Cotton,AR,Republican,14.3%,-27.6
C001096,Kevin Cramer,ND,Republican,21.4%,-33.4
C001098,Ted Cruz,TX,Republican,10.7%,-5.6
C001113,Catherine Cortez Masto,NV,Democrat,92.9%,2.4
D000563,Dick Durbin,IL,Democrat,100.0%,16.9
D000618,Steve Daines,MT,Republican,17.9%,-16.4
D000622,Tammy Duckworth,IL,Democrat,100.0%,16.9
E000295,Joni Ernst,IA,Republican,14.8%,-8.2
F000463,Deb Fischer,NE,Republican,14.3%,-19.1
F000479,John Fetterman,PA,Democrat,92.0%,1.2
G000359,Lindsay Graham,SC,Republican,14.3%,-11.7
G000386,Chuck Grassley,IA,Republican,21.4%,-8.2
G000555,Kirsten Gillibrand,NY,Democrat,100.0%,23.1
H000273,John Hickenlooper,CO,Democrat,96.4%,13.5
H000601,Bill Hagerty,TN,Republican,14.8%,-23.2
H001042,Mazie Hirono,HI,Democrat,100.0%,29.5
H001046,Martin Heinrich,NM,Democrat,100.0%,10.8
H001061,John Hoeven,ND,Republican,21.4%,-33.4
H001076,Maggie Hassan,NH,Democrat,96.4%,7.4
H001079,Cindy Hyde-Smith,MS,Republican,14.3%,-16.5
H001089,Josh Hawley,MO,Republican,10.7%,-15.4
J000293,Ron Johnson,WI,Republican,10.7%,0.6
K000367,Amy Klobuchar,MN,Democrat,92.9%,7.1
K000377,Mark Kelly,AZ,Democrat,100.0%,0.3
K000383,Angus King,ME,Independent,88.9%,9.1
K000384,Tim Kaine,VA,Democrat,100.0%,10.1
K000393,John Kennedy,LA,Republican,14.3%,-18.6
L000570,Ben Ray Luján,NM,Democrat,100.0%,10.8
L000571,Cynthia Lummis,WY,Republican,10.7%,-43.4
L000575,James Lankford,OK,Republican,14.3%,-33.1
L000577,Mike Lee,UT,Republican,3.8%,-20.3
M000133,Ed Markey,MA,Democrat,92.9%,33.5
M000355,Mitch McConnell,KY,Republican,19.2%,-25.9
M000639,Bob Menendez,NJ,Democrat,100.0%,15.9
M000934,Jerry Moran,KS,Republican,21.4%,-14.6
M001111,Patty Murray,WA,Democrat,100.0%,19.2
M001153,Lisa Murkowski,AK,Republican,32.1%,-10.1
M001169,Chris Murphy,CT,Democrat,100.0%,20.0
M001176,Jeff Merkley,OR,Democrat,92.6%,16.1
M001183,Joe Manchin,WV,Democrat,35.7%,-38.9
M001190,Markwayne Mullin,OK,Republican,18.5%,-33.1
M001198,Roger Marshall,KS,Republican,17.9%,-14.6
O000174,Jon Ossoff,GA,Democrat,100.0%,0.2
P000145,Alex Padilla,CA,Democrat,100.0%,29.1
P000595,Gary Peters,MI,Democrat,96.4%,2.8
P000603,Rand Paul,KY,Republican,11.1%,-25.9
R000122,Jack Reed,RI,Democrat,100.0%,20.8
R000584,Jim Risch,ID,Republican,7.1%,-30.7
R000595,Marco Rubio,FL,Republican,14.3%,-3.4
R000605,Mike Rounds,SD,Republican,17.9%,-26.2
R000608,Jacky Rosen,NV,Democrat,92.9%,2.4
R000615,Mitt Romney,UT,Republican,19.2%,-20.3
R000618,Pete Ricketts,NE,Republican,10.7%,-19.1
S000033,Bernie Sanders,VT,Independent,89.3%,35.4
S000148,Chuck Schumer,NY,Democrat,92.9%,23.1
S000770,Debbie Stabenow,MI,Democrat,96.2%,2.8
S001181,Jeanne Shaheen,NH,Democrat,96.3%,7.4
S001184,Tim Scott,SC,Republican,5.0%,-11.7
S001191,Kyrsten Sinema,AZ,Independent,82.1%,0.3
S001194,Brian Schatz,HI,Democrat,100.0%,29.5
S001198,Dan Sullivan,AK,Republican,14.3%,-10.1
S001203,Tina Smith,MN,Democrat,100.0%,7.1
S001217,Rick Scott,FL,Republican,7.1%,-3.4
S001227,Eric Schmitt,MO,Republican,10.7%,-15.4
T000250,John Thune,SD,Republican,17.9%,-26.2
T000278,Tommy Tuberville,AL,Republican,7.1%,-25.5
T000464,Jon Tester,MT,Democrat,71.4%,-16.4
T000476,Thom Tillis,NC,Republican,12.0%,-1.3
V000128,Chris Van Hollen,MD,Democrat,100.0%,33.2
V000137,J.D. Vance,OH,Republican,11.1%,-8.0
W000437,Roger Wicker,MS,Republican,14.3%,-16.5
W000779,Ron Wyden,OR,Democrat,92.9%,16.1
W000790,Raphael Warnock,GA,Democrat,100.0%,0.2
W000800,Peter Welch,VT,Democrat,96.4%,35.4
W000802,Sheldon Whitehouse,RI,Democrat,100.0%,20.8
W000805,Mark Warner,VA,Democrat,100.0%,10.1
W000817,Elizabeth Warren,MA,Democrat,92.9%,33.5
Y000064,Todd Young,IN,Republican,21.4%,-16.0
