bill_number,position_link,bill_link,house_vote_date,senate_vote_date,override_vote_date,house_passed,senate_passed,law,veto,biden_position,summary,notes,house_roll,house_dem_agree,house_rep_agree,senate_roll,senate_dem_agree,senate_rep_agree,veto_override_roll,veto_dem_agree,veto_rep_agree
HR 382,https://www.whitehouse.gov/wp-content/uploads/2023/01/SAP-H.R.-382-H.J.-Res.-7.pdf,https://www.congress.gov/bill/118th-congress/house-bill/382,1-31,,,TRUE,FALSE,FALSE,FALSE,oppose,"Terminate the national COVID-19 emergency declared on Jan. 31, 2020",,h100-2023,100.0%,0.0%,,,,,,
HJRES 7,https://www.whitehouse.gov/wp-content/uploads/2023/01/SAP-H.R.-382-H.J.-Res.-7.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/7,2-1,,,TRUE,TRUE,TRUE,FALSE,oppose,"Terminate the national COVID-19 emergency declared on March 13, 2020",,h104-2023,94.7%,0.0%,,,,,,
HR 185,https://www.whitehouse.gov/wp-content/uploads/2023/02/SAP-H.R.-185-Final.pdf,https://www.congress.gov/bill/118th-congress/house-bill/185,2-8,,,TRUE,FALSE,FALSE,FALSE,oppose,Terminate a rule requiring foreign air travelers to show proof of a COVID-19 vaccination as a condition of entry into the country,,h116-2023,96.6%,0.0%,,,,,,
HJRES 24,https://www.whitehouse.gov/wp-content/uploads/2023/02/SAP-H.J.-Res.-24-and-H.J.-Res.-26_PDF.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/24,2-9,,,TRUE,FALSE,FALSE,FALSE,oppose,Nullify an act by the council of the District of Columbia to allow some noncitizens to vote in local elections,,h118-2023,79.3%,0.0%,,,,,,
HJRES 26,https://www.whitehouse.gov/wp-content/uploads/2023/02/SAP-H.J.-Res.-24-and-H.J.-Res.-26_PDF.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/26,2-9,,,TRUE,TRUE,TRUE,FALSE,oppose,Nullify an act by the council of the District of Columbia modifying sentencing guidelines and expanding the right to a jury trial,,h119-2023,84.7%,0.0%,,,,,,
HJRES 30,https://www.whitehouse.gov/wp-content/uploads/2023/02/SAP-H.J.-Res.-30.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/30,2-28,3-1,3-23,TRUE,TRUE,FALSE,TRUE,oppose,Nullify a rule allowing fiduciaries to consider climate change and other environmental and social factors when making investment decisions,,h124-2023,99.5%,0.0%,s35-2023,95.8%,0.0%,h149-2023,99.5%,0.0%
HJRES 27,https://www.whitehouse.gov/wp-content/uploads/2023/03/HJ-Res-27-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/27,3-9,3-29,4-18,TRUE,TRUE,FALSE,TRUE,oppose,Terminate a rule expanding the bodies of water protected by the Clean Water Act,,h142-2023,95.6%,0.5%,s79-2023,89.6%,0.0%,h187-2023,95.1%,0.5%
HR 5,https://www.whitehouse.gov/wp-content/uploads/2023/03/SAP-H.R.-5-Parents-Bill-of-Rights-Act.pdf,https://www.congress.gov/bill/118th-congress/house-bill/5,3-24,,,TRUE,FALSE,FALSE,FALSE,oppose,"Require schools to notify parents of certain rights regarding their children's education; require parental consent before changing a child's name, pronouns or sex-based accomodations",,h161-2023,100.0%,2.3%,,,,,,
HR 1,https://www.whitehouse.gov/wp-content/uploads/2023/03/H.R.-1-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/1,3-30,,,TRUE,FALSE,FALSE,FALSE,oppose,"Republican energy package, including to facilitate oil, gas and mineral development; eliminate certain renewable energy and energy efficiency funds",,h182-2023,98.1%,0.5%,,,,,,
HJRES 42,https://www.whitehouse.gov/wp-content/uploads/2023/04/SAP_HJ-Res-42.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/42,4-19,5-16,6-13,TRUE,TRUE,FALSE,TRUE,oppose,Nullify police reforms passed by the council of the District of Columbia,,h188-2023,93.1%,0.0%,s126-2023,84.0%,0.0%,h253-2023,93.8%,0.0%
HR 734,https://www.whitehouse.gov/wp-content/uploads/2023/04/SAP-HR-734.pdf,https://www.congress.gov/bill/118th-congress/house-bill/734,4-20,,,TRUE,FALSE,FALSE,FALSE,oppose,Prohibit schools from allowing individuals whose biological sex at birth was male to participate in female athletic programs,,h192-2023,100.0%,0.0%,,,,,,
HR 2811,https://www.whitehouse.gov/wp-content/uploads/2023/04/LSGA-2023-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/2811,4-26,,,TRUE,FALSE,FALSE,FALSE,oppose,"Republican debt limit package, including to increase the federal debt limit and decreasing spending; repeal certain energy tax credits; modify the energy permitting process; expand work requirements for federal programs; nullify student loan forgiveness",,h199-2023,100.0%,1.8%,,,,,,
HJRES 39,https://www.whitehouse.gov/wp-content/uploads/2023/04/HJRes-39-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-joint-resolution/39,4-28,5-3,5-24,TRUE,TRUE,FALSE,TRUE,oppose,"Nullify a rule temporarily suspending duties on certain solar panel modules imported from Cambodia, Malaysia, Thailand or Vietnam",,h202-2023,94.1%,3.7%,s109-2023,81.6%,2.1%,h233-2023,96.1%,3.8%
HR 2,https://www.whitehouse.gov/wp-content/uploads/2023/05/SAP-H.R.-2.pdf,https://www.congress.gov/bill/118th-congress/house-bill/2,5-11,,,TRUE,FALSE,FALSE,FALSE,oppose,"Republican border security package, including to resume border wall construction; limit asylum eligibility; increase employment verification requirements",,h209-2023,100.0%,0.9%,,,,,,
HR 1163,https://www.whitehouse.gov/wp-content/uploads/2023/05/H.R.-1163-SAP.pdf,https://www.congress.gov/bill/118th-congress/house-bill/1163,5-11,,,TRUE,FALSE,FALSE,FALSE,oppose,Provide incentives for states to investigate and recover overpayments of pandemic unemployment insurance benefits,,h211-2023,95.2%,0.0%,,,,,,
HR 3091,https://www.whitehouse.gov/wp-content/uploads/2023/05/SAP_H.R.-3091.pdf,https://www.congress.gov/bill/118th-congress/house-bill/3091,5-17,,,TRUE,FALSE,FALSE,FALSE,oppose,Establish a program to allow federal law enforcement officers to purchase a retired firearm from the agency that issued the firearm to the officer,,h222-2023,93.8%,0.0%,,,,,,
HR 2494,https://www.whitehouse.gov/wp-content/uploads/2023/05/SAP_H.R.-2494.pdf,https://www.congress.gov/bill/118th-congress/house-bill/2494,5-17,,,TRUE,FALSE,FALSE,FALSE,oppose,"Make assaulting a law enforcement officer, firefighter or other first responder a deportable offense",,h225-2023,82.9%,0.0%,,,,,,
