nomation_link,nomination_roll,nomination_vote_date,nomination
PN1,s1-2023,1/23,"Brendan Owens, of Virginia, to be an Assistant Secretary of Defense"
PN62,s3-2023,1/30,"Roger Israel Zakheim, of Maryland, to be a Member of the Board of Directors of the United States Institute of Peace"
PN61,s5-2023,2/2,"Joseph Lee Falk, of Florida, to be a Member of the Board of Directors of the U.S. Institute of Peace"
PN88,s7-2023,2/9,"DeAndrea Gist Benjamin, of South Carolina, to be U.S. Circuit Judge for the Fourth Circuit"
PN92,s9-2023,2/13,"Cindy K. Chung. of Pennsylvania, to be United States Circuit Judge for the Third Circuit"
PN79,s11-2023,2/14,"Gina R. Mendez-Miro, of Puerto Rico, to be U.S. District Judge for the District of Puerto Rico"
PN74,s13-2023,2/14,"Lindsay C. Jenkins, of Illinois, to be United States District Judge for the Northern District of Illinois"
PN72,s15-2023,2/14,"Matthew L. Garcia, of New Mexico, to be U.S. District Judge for the District of New Mexico"
PN71,s17-2023,2/15,"Adrienne C. Nelson, of Oregon, to be U.S. District Judge for the District of Oregon"
PN80,s20-2023,2/15,"Ana C. Reyes, of the District of Columbia, to be United States District Judge for the District of Columbia"
PN73,s22-2023,2/16,"Daniel J. Calabretta, of California, to be U.S. District Judge for the Eastern District of California"
PN3,s23-2023,2/16,"Lester Martinez-Lopez, of Florida, to be an Assistant Secretary of Defense"
PN78,s26-2023,2/28,"Jamar K. Walker, of Virginia, to be U.S. District Judge for the Eastern District of Virginia"
PN75,s28-2023,2/28,"Jamal N. Whitehead, of Washington, to be U.S. District Judge for the Western District of Washington"
PN76,s30-2023,2/28,"Araceli Martinez-Olguin, of California, to be U.S. District Judge for the Northern District of California"
PN77,s32-2023,3/1,"Margaret R. Guzman, of Massachusetts, to be U.S. District Judge for the District of Massachusetts"
PN170,s37-2023,3/2,"Colleen R. Lawless, of Illinois, to be U.S. District Judge for the Central District of Illinois"
PN171,s39-2023,3/2,"Jonathan James Canada Grey, of Michigan, to be U.S. District Judge for the Eastern District of Michigan"
PN166,s41-2023,3/7,"Robert Stewart Ballou, of Virginia, to be U.S. District Judge for the Western District of Virginia"
PN178,s43-2023,3/7,"Andrew G. Schopler, of California, to be U.S. District Judge for the Southern District of California"
PN179,s45-2023,3/7,"Arun Subramanian, of New York, to be U.S. District Judge for the Southern District of New York"
PN162,s47-2023,3/8,"Patrice H. Kunesh, of Minnesota, to be Commissioner of the Administration for Native Americans, Department of Health and Human Services"
PN27,s50-2023,3/9,"Daniel I. Werfel, of the District of Columbia, to be Commissioner of Internal Revenue"
PN175,s51-2023,3/9,"James Edward Simmons, Jr., of California, to be United States District Judge for the Southern District of California"
PN91,s52-2023,3/9,"Maria Araujo Kahn, of Connecticut, to be United States Circuit Judge for the Second Circuit"
PN122,s54-2023,3/15,"Brent Neiman, of Illinois, to be a Deputy Under Secretary of the Treasury"
PN29,s56-2023,3/15,"Eric M. Garcetti, of California, to be Ambassador of the United States of America to the Republic of India"
PN6,s58-2023,3/15,"Ravi Chaudhary, of Virginia, to be an Assistant Secretary of the Air Force"
PN85,s62-2023,3/16,"Jessica G.L. Clarke, of New York, to be U.S. District Judge for the Southern District of New York"
PN176,s64-2023,3/22,"Gordon P. Gallagher, of Colorado, to be U.S. District Judge for the District of Colorado"
PN44,s81-2023,3/30,"Richard R. Verma, of Maryland, to be Deputy Secretary of State for Management and Resources"
PN2,s82-2023,3/30,"Laura Taylor-Kale, of California, to be an Assistant Secretary of Defense"
PN5,s84-2023,4/18,"Radha Iyengar Plumb, of New York, to be a Deputy Under Secretary of Defense"
PN69,s86-2023,4/18,"Amy Lefkowitz Solomon, of the District of Columbia, to be an Assistant Attorney General"
PN195,s96-2023,4/26,"Joshua David Jacobs, of Washington, to be Under Secretary for Benefits of the Department of Veterans Affairs"
