roll_id,chamber,name,bioguide,party,vote,biden_position
h100-2023,house,Robert Aderholt,A000055,Independent,support,oppose
h100-2023,house,Jake Auchincloss,A000148,Democrat,oppose,oppose
h100-2023,house,Mark Amodei,A000369,Republican,support,oppose
h100-2023,house,Alma Adams,A000370,Democrat,oppose,oppose
h100-2023,house,Pete Aguilar,A000371,Democrat,oppose,oppose
h100-2023,house,Rick Allen,A000372,Republican,support,oppose
h100-2023,house,Jodey Arrington,A000375,Republican,support,oppose
h100-2023,house,Colin Allred,A000376,Democrat,oppose,oppose
h100-2023,house,Kelly Armstrong,A000377,Republican,support,oppose
h100-2023,house,Mark Alford,A000379,Republican,support,oppose
h100-2023,house,Sanford Bishop,B000490,Democrat,oppose,oppose
h100-2023,house,Earl Blumenauer,B000574,Democrat,oppose,oppose
h100-2023,house,Cliff Bentz,B000668,Republican,support,oppose
h100-2023,house,Stephanie Bice,B000740,Republican,support,oppose
h100-2023,house,Lauren Boebert,B000825,Republican,support,oppose
h100-2023,house,Jamaal Bowman,B001223,Democrat,oppose,oppose
h100-2023,house,Cori Bush,B001224,Democrat,oppose,oppose
h100-2023,house,Michael Burgess,B001248,Republican,support,oppose
h100-2023,house,Gus Bilirakis,B001257,Republican,support,oppose
h100-2023,house,Vern Buchanan,B001260,Republican,support,oppose
h100-2023,house,Larry Bucshon,B001275,Republican,support,oppose
h100-2023,house,Suzanne Bonamici,B001278,Democrat,oppose,oppose
h100-2023,house,Joyce Beatty,B001281,Democrat,oppose,oppose
h100-2023,house,Andy Barr,B001282,Republican,support,oppose
h100-2023,house,Julia Brownley,B001285,Democrat,oppose,oppose
h100-2023,house,Ami Bera,B001287,Democrat,oppose,oppose
h100-2023,house,Brian Babin,B001291,Republican,support,oppose
h100-2023,house,Don Beyer,B001292,Democrat,oppose,oppose
h100-2023,house,Mike Bost,B001295,Republican,support,oppose
h100-2023,house,Brendan Boyle,B001296,Democrat,oppose,oppose
h100-2023,house,Ken Buck,B001297,Republican,support,oppose
h100-2023,house,Don Bacon,B001298,Republican,support,oppose
h100-2023,house,Jim Banks,B001299,Republican,support,oppose
h100-2023,house,Nanette Barragán,B001300,Democrat,oppose,oppose
h100-2023,house,Jack Bergman,B001301,Republican,support,oppose
h100-2023,house,Andy Biggs,B001302,Republican,support,oppose
h100-2023,house,Lisa Blunt Rochester,B001303,Democrat,oppose,oppose
h100-2023,house,Troy Balderson,B001306,Republican,support,oppose
h100-2023,house,Jim Baird,B001307,Republican,support,oppose
h100-2023,house,Tim Burchett,B001309,Republican,support,oppose
h100-2023,house,Dan Bishop,B001311,Republican,support,oppose
h100-2023,house,Shontel Brown,B001313,Democrat,oppose,oppose
h100-2023,house,Aaron Bean,B001314,Republican,support,oppose
h100-2023,house,Nikki Budzinski,B001315,Democrat,oppose,oppose
h100-2023,house,Eric Burlison,B001316,Republican,support,oppose
h100-2023,house,Josh Brecheen,B001317,Republican,support,oppose
h100-2023,house,Becca Balint,B001318,Democrat,oppose,oppose
h100-2023,house,Ken Calvert,C000059,Republican,support,oppose
h100-2023,house,Jim Clyburn,C000537,Democrat,oppose,oppose
